iter	Passed	Remaining
0	147	147375
1	152	76035
2	157	52284
3	162	40348
4	166	33119
5	171	28363
6	175	24931
7	180	22367
8	184	20366
9	189	18791
10	194	17531
11	200	16485
12	205	15627
13	210	14842
14	215	14157
15	220	13543
16	224	13009
17	229	12532
18	235	12143
19	240	11774
20	245	11447
21	250	11119
22	255	10833
23	260	10581
24	265	10363
25	271	10180
26	277	9985
27	281	9779
28	286	9605
29	291	9436
30	296	9269
31	301	9119
32	305	8966
33	310	8834
34	315	8700
35	320	8577
36	325	8467
37	329	8352
38	334	8251
39	339	8149
40	344	8058
41	349	7964
42	353	7875
43	358	7794
44	363	7706
45	368	7636
46	373	7563
47	377	7483
48	381	7410
49	386	7349
50	391	7288
51	396	7225
52	401	7166
53	406	7118
54	410	7059
55	417	7034
56	422	6997
57	429	6974
58	435	6941
59	441	6924
60	448	6906
61	454	6876
62	460	6850
63	466	6829
64	474	6819
65	480	6799
66	486	6775
67	494	6772
68	503	6797
69	511	6801
70	520	6815
71	527	6797
72	533	6775
73	539	6751
74	545	6730
75	552	6721
76	558	6698
77	564	6678
78	571	6657
79	577	6637
80	582	6607
81	588	6587
82	594	6569
83	600	6543
84	604	6510
85	610	6489
86	615	6462
87	620	6432
88	626	6416
89	632	6398
90	638	6376
91	644	6364
92	651	6350
93	657	6338
94	663	6318
95	669	6305
96	677	6302
97	684	6298
98	690	6282
99	695	6261
100	701	6244
101	707	6230
102	712	6209
103	718	6191
104	724	6175
105	729	6153
106	735	6135
107	740	6118
108	745	6095
109	750	6071
110	754	6045
111	759	6019
112	765	6010
113	771	5992
114	775	5968
115	780	5948
116	784	5923
117	789	5901
118	794	5879
119	798	5855
120	803	5834
121	808	5816
122	813	5798
123	817	5776
124	822	5755
125	826	5735
126	831	5713
127	835	5693
128	840	5672
129	844	5652
130	848	5631
131	854	5616
132	858	5595
133	862	5577
134	867	5558
135	872	5540
136	876	5522
137	881	5503
138	886	5489
139	890	5470
140	895	5454
141	900	5439
142	904	5422
143	909	5408
144	914	5390
145	919	5377
146	923	5360
147	928	5345
148	933	5331
149	938	5315
150	942	5300
151	947	5287
152	953	5276
153	958	5265
154	964	5259
155	970	5250
156	976	5241
157	982	5236
158	987	5222
159	992	5209
160	996	5194
161	1001	5179
162	1006	5167
163	1011	5154
164	1016	5145
165	1021	5132
166	1027	5123
167	1032	5111
168	1037	5103
169	1044	5098
170	1050	5091
171	1059	5099
172	1064	5090
173	1070	5083
174	1076	5075
175	1084	5076
176	1102	5124
177	1109	5124
178	1118	5128
179	1124	5123
180	1131	5118
181	1138	5117
182	1145	5112
183	1151	5107
184	1158	5105
185	1165	5101
186	1171	5093
187	1178	5088
188	1183	5079
189	1189	5072
190	1195	5062
191	1200	5050
192	1206	5044
193	1212	5037
194	1218	5029
195	1223	5019
196	1229	5009
197	1234	4998
198	1239	4988
199	1244	4976
200	1248	4964
201	1255	4958
202	1260	4948
203	1265	4936
204	1270	4926
205	1275	4914
206	1280	4904
207	1284	4892
208	1289	4879
209	1294	4870
210	1300	4861
211	1305	4850
212	1310	4842
213	1321	4855
214	1331	4860
215	1340	4864
216	1348	4866
217	1357	4870
218	1365	4868
219	1370	4859
220	1379	4861
221	1386	4859
222	1392	4850
223	1397	4839
224	1401	4828
225	1407	4820
226	1412	4809
227	1418	4801
228	1423	4793
229	1429	4784
230	1435	4777
231	1441	4772
232	1447	4766
233	1454	4761
234	1461	4757
235	1468	4752
236	1474	4745
237	1480	4738
238	1485	4730
239	1491	4722
240	1496	4712
241	1500	4701
242	1505	4691
243	1511	4682
244	1516	4671
245	1521	4662
246	1526	4653
247	1531	4643
248	1536	4635
249	1541	4625
250	1546	4616
251	1552	4607
252	1557	4597
253	1561	4587
254	1566	4577
255	1571	4568
256	1576	4557
257	1582	4550
258	1587	4542
259	1592	4532
260	1597	4524
261	1602	4513
262	1607	4503
263	1612	4496
264	1618	4487
265	1623	4479
266	1628	4470
267	1633	4460
268	1638	4452
269	1643	4444
270	1648	4434
271	1653	4426
272	1659	4419
273	1664	4410
274	1670	4403
275	1675	4395
276	1680	4386
277	1686	4380
278	1691	4371
279	1696	4362
280	1702	4355
281	1706	4346
282	1712	4337
283	1717	4330
284	1722	4321
285	1727	4313
286	1733	4305
287	1737	4296
288	1742	4287
289	1749	4282
290	1755	4276
291	1760	4269
292	1766	4262
293	1771	4255
294	1778	4249
295	1783	4243
296	1790	4238
297	1796	4231
298	1802	4225
299	1807	4218
300	1813	4211
301	1818	4204
302	1824	4196
303	1829	4189
304	1834	4180
305	1840	4173
306	1845	4165
307	1849	4156
308	1855	4148
309	1860	4140
310	1865	4132
311	1870	4123
312	1875	4116
313	1880	4108
314	1885	4099
315	1891	4094
316	1896	4086
317	1901	4077
318	1906	4069
319	1910	4060
320	1915	4052
321	1920	4044
322	1926	4037
323	1931	4029
324	1935	4019
325	1941	4014
326	1947	4007
327	1952	3999
328	1958	3994
329	1964	3988
330	1969	3980
331	1974	3972
332	1978	3963
333	1983	3954
334	1987	3946
335	1992	3936
336	1996	3928
337	2001	3919
338	2005	3910
339	2010	3902
340	2014	3893
341	2019	3884
342	2023	3875
343	2027	3867
344	2034	3862
345	2038	3853
346	2043	3845
347	2047	3836
348	2051	3827
349	2056	3818
350	2060	3810
351	2065	3801
352	2069	3792
353	2073	3784
354	2078	3777
355	2083	3769
356	2087	3760
357	2092	3752
358	2097	3744
359	2101	3736
360	2106	3728
361	2111	3721
362	2115	3712
363	2120	3704
364	2125	3697
365	2129	3689
366	2134	3682
367	2139	3673
368	2143	3665
369	2148	3657
370	2152	3649
371	2157	3642
372	2161	3633
373	2166	3625
374	2170	3617
375	2174	3609
376	2179	3601
377	2183	3593
378	2187	3585
379	2192	3577
380	2196	3569
381	2201	3561
382	2206	3554
383	2210	3545
384	2215	3538
385	2219	3530
386	2223	3522
387	2228	3514
388	2233	3507
389	2238	3500
390	2242	3493
391	2247	3486
392	2252	3478
393	2257	3471
394	2261	3464
395	2266	3457
396	2271	3450
397	2276	3443
398	2281	3436
399	2286	3429
400	2291	3422
401	2295	3415
402	2300	3407
403	2305	3400
404	2310	3394
405	2316	3388
406	2321	3382
407	2326	3375
408	2331	3368
409	2335	3361
410	2340	3354
411	2346	3348
412	2351	3341
413	2357	3336
414	2362	3330
415	2367	3323
416	2372	3317
417	2377	3310
418	2382	3303
419	2386	3296
420	2391	3288
421	2395	3281
422	2399	3273
423	2404	3266
424	2408	3259
425	2413	3251
426	2418	3245
427	2422	3238
428	2427	3231
429	2432	3224
430	2437	3217
431	2441	3210
432	2446	3203
433	2451	3196
434	2455	3189
435	2460	3183
436	2465	3176
437	2470	3170
438	2476	3164
439	2481	3157
440	2486	3151
441	2492	3146
442	2496	3139
443	2501	3132
444	2506	3125
445	2510	3118
446	2515	3111
447	2519	3104
448	2524	3097
449	2528	3090
450	2533	3084
451	2538	3077
452	2542	3070
453	2547	3063
454	2551	3056
455	2556	3049
456	2560	3042
457	2565	3036
458	2570	3029
459	2574	3022
460	2578	3015
461	2583	3008
462	2587	3001
463	2592	2994
464	2596	2987
465	2601	2980
466	2605	2974
467	2610	2967
468	2615	2960
469	2619	2954
470	2624	2947
471	2628	2940
472	2633	2933
473	2637	2926
474	2642	2920
475	2647	2914
476	2652	2908
477	2657	2901
478	2661	2895
479	2666	2889
480	2671	2882
481	2676	2876
482	2680	2869
483	2685	2862
484	2689	2856
485	2694	2849
486	2698	2842
487	2703	2836
488	2707	2829
489	2712	2823
490	2716	2816
491	2721	2809
492	2725	2803
493	2730	2796
494	2734	2790
495	2740	2784
496	2747	2780
497	2751	2773
498	2756	2767
499	2761	2761
500	2765	2754
501	2770	2747
502	2774	2741
503	2779	2734
504	2783	2728
505	2787	2721
506	2791	2714
507	2796	2708
508	2800	2701
509	2804	2694
510	2809	2688
511	2813	2681
512	2818	2675
513	2822	2668
514	2826	2662
515	2831	2655
516	2835	2649
517	2839	2642
518	2844	2636
519	2848	2629
520	2853	2623
521	2857	2616
522	2862	2610
523	2866	2604
524	2871	2597
525	2875	2591
526	2880	2585
527	2885	2579
528	2889	2573
529	2894	2567
530	2899	2560
531	2903	2554
532	2908	2547
533	2912	2541
534	2916	2535
535	2920	2528
536	2925	2522
537	2930	2516
538	2935	2510
539	2939	2504
540	2944	2498
541	2949	2492
542	2953	2485
543	2960	2481
544	2966	2476
545	2971	2470
546	2975	2464
547	2980	2458
548	2984	2452
549	2989	2446
550	2993	2439
551	2998	2433
552	3002	2427
553	3007	2420
554	3011	2414
555	3016	2408
556	3020	2402
557	3025	2396
558	3029	2390
